ML,0.32, MR,0.68, Pitch,3.38, Distance,0.01329, Angle,-0.11
ML,-0.54, MR,-0.07, Pitch,3.33, Distance,0.01283, Angle,-0.11
ML,-0.41, MR,-0.79, Pitch,3.37, Distance,0.0126, Angle,-0.34
ML,-1.87, MR,-1.17, Pitch,3.34, Distance,0.01271, Angle,-0.28
ML,-0.15, MR,-1.34, Pitch,3.47, Distance,0.0126, Angle,-0.45
ML,-0.26, MR,0.58, Pitch,3.59, Distance,0.01191, Angle,-0.23
ML,1.86, MR,1.85, Pitch,3.67, Distance,0.01203, Angle,-0.17
ML,0.93, MR,3.24, Pitch,3.49, Distance,0.01317, Angle,0.28
ML,0.7, MR,0.17, Pitch,3.37, Distance,0.01409, Angle,-0.28
ML,-1.06, MR,-0.17, Pitch,3.23, Distance,0.01455, Angle,-0.06
ML,-0.7, MR,-1.34, Pitch,3.34, Distance,0.01386, Angle,-0.28
ML,-0.31, MR,0.01, Pitch,3.53, Distance,0.01271, Angle,-0.17
ML,-0.51, MR,-0.32, Pitch,3.45, Distance,0.01283, Angle,-0.34
ML,-0.9, MR,-0.54, Pitch,3.37, Distance,0.0126, Angle,-0.23
ML,-1.74, MR,-1.32, Pitch,3.31, Distance,0.01237, Angle,-0.23
ML,1.03, MR,0.31, Pitch,3.54, Distance,0.01122, Angle,-0.57
ML,1.22, MR,1.17, Pitch,3.67, Distance,0.01122, Angle,-0.57
ML,3.89, MR,3.65, Pitch,3.85, Distance,0.01134, Angle,-0.63
ML,-1.29, MR,-0.05, Pitch,3.3, Distance,0.01523, Angle,0.06
ML,-0.39, MR,0.79, Pitch,3.23, Distance,0.01523, Angle,0.17
ML,0.42, MR,0.34, Pitch,3.42, Distance,0.01466, Angle,0
ML,-0.47, MR,0.08, Pitch,3.35, Distance,0.01478, Angle,-0.06
ML,-2.33, MR,-1.89, Pitch,3.19, Distance,0.01443, Angle,0
ML,-0.94, MR,-2.04, Pitch,3.28, Distance,0.01271, Angle,-0.85
ML,-0.48, MR,-3.14, Pitch,3.41, Distance,0.01134, Angle,-1.53
ML,-0.34, MR,-3.2, Pitch,3.43, Distance,0.01008, Angle,-2.16
ML,-0.73, MR,-3.92, Pitch,3.4, Distance,0.00905, Angle,-2.67
ML,0.07, MR,-3.86, Pitch,3.45, Distance,0.00767, Angle,-3.01
ML,-2.24, MR,-2.35, Pitch,3.58, Distance,0.00664, Angle,-2.05
ML,0.85, MR,-1.3, Pitch,3.72, Distance,0.00607, Angle,-2.1
ML,2.73, MR,1.85, Pitch,3.72, Distance,0.0063, Angle,-1.76
ML,0.01, MR,-0.51, Pitch,3.53, Distance,0.00779, Angle,-1.14
ML,0.45, MR,0.99, Pitch,3.49, Distance,0.00813, Angle,-0.97
ML,2.73, MR,1.66, Pitch,3.67, Distance,0.00836, Angle,-0.85
ML,-0.11, MR,0.92, Pitch,3.45, Distance,0.01008, Angle,0
ML,2, MR,2.63, Pitch,3.56, Distance,0.01008, Angle,0
ML,-0.53, MR,-0.64, Pitch,3.32, Distance,0.01214, Angle,0.11
ML,0.15, MR,0.49, Pitch,3.26, Distance,0.01226, Angle,-0.06
ML,-0.82, MR,-0.53, Pitch,3.26, Distance,0.01214, Angle,0
ML,-0.68, MR,-1.7, Pitch,3.31, Distance,0.01145, Angle,-0.23
ML,-1.35, MR,-0.39, Pitch,3.41, Distance,0.011, Angle,0
ML,1.39, MR,-0.15, Pitch,3.58, Distance,0.01088, Angle,-0.28
ML,-0.52, MR,0.95, Pitch,3.44, Distance,0.01077, Angle,0.23
ML,1.76, MR,0.62, Pitch,3.47, Distance,0.01019, Angle,-0.28
ML,-1.26, MR,-0.48, Pitch,3.33, Distance,0.01077, Angle,0.11
ML,0.7, MR,-0.22, Pitch,3.5, Distance,0.00985, Angle,-0.45
ML,0.48, MR,-0.11, Pitch,3.49, Distance,0.01042, Angle,-0.17
ML,0.1, MR,-0.09, Pitch,3.46, Distance,0.01054, Angle,-0.23
ML,1.03, MR,0.89, Pitch,3.53, Distance,0.00974, Angle,-0.51
ML,0.31, MR,-0.47, Pitch,3.44, Distance,0.01088, Angle,-0.17
ML,-1.03, MR,0.23, Pitch,3.38, Distance,0.01088, Angle,0.06
